AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,LATITUDE,LONGITUDE
COD,Yellowstone Regional,"Cody, WY",44.51583333,-109.0275
COS,Peterson Field,"Colorado Springs, CO",38.80888889,-104.70916667
COU,Columbia Regional,"Columbia, MO",38.81361111,-92.21916667
CPR,Casper/Natrona County International,"Casper, WY",42.90861111,-106.4625
CRP,Corpus Christi International,"Corpus Christi, TX",27.77,-97.50083333
CRW,Kanawha,"Charleston/Dunbar, WV",38.37277778,-81.59305556
CSG,Columbus Metropolitan,"Columbus, GA",32.51611111,-84.93888889
CVG,Cincinnati/Northern Kentucky International,"Cincinnati, OH",39.04777778,-84.66861111
CWA,Central Wisconsin,"Mosinee, WI",44.78222222,-89.65916667
DAB,Daytona Beach Regional,"Daytona Beach, FL",29.1825,-81.05277778
DAL,Dallas Love Field,"Dallas, TX",32.84694444,-96.85333333
DAY,James M Cox/Dayton International,"Dayton, OH",39.90111111,-84.22
DBQ,Dubuque Regional,"Dubuque, IA",42.41,-90.71083333
DCA,Ronald Reagan Washington National,"Washington, DC",38.85166667,-77.03694444
DEN,Stapleton International,"Denver, CO",39.77444444,-104.87972222
DFW,Dallas Fort Worth Regional,"Dallas/Fort Worth, TX",32.89444444,-97.02972222
DHN,Dothan Regional,"Dothan, AL",31.32,-85.44833333
DIK,Dickinson Municipal,"Dickinson, ND",46.79666667,-102.79638889
DLH,Duluth International,"Duluth, MN",46.8425,-92.19027778
DRO,La Plata County,"Durango, CO",37.15,-107.75111111
DSM,Des Moines Municipal,"Des Moines, IA",41.53388889,-93.65666667
DTW,Detroit Metro Wayne County,"Detroit, MI",42.21666667,-83.34444444
DVL,Devils Lake Regional,"Devils Lake, ND",48.11305556,-98.9075
EAU,Eau Claire Municipal,"Eau Claire, WI",44.86444444,-91.48722222
ECP,Northwest Florida Beaches International,"Panama City, FL",30.35777778,-85.79888889
EGE,Eagle County Regional,"Eagle, CO",39.64361111,-106.91388889
EKO,Elko Regional,"Elko, NV",40.82388889,-115.78972222
ELM,Elmira/Corning Regional,"Elmira/Corning, NY",42.16083333,-76.89527778
ELP,El Paso International,"El Paso, TX",31.80666667,-106.37722222
ERI,Erie International,"Erie, PA",42.08,-80.17861111
ESC,Delta County,"Escanaba, MI",45.72055556,-87.08666667
EUG,Mahlon Sweet Field,"Eugene, OR",44.12083333,-123.2175
EVV,Evansville Dress Regional,"Evansville, IN",38.03666667,-87.5325
EWN,Craven County Regional,"New Bern/Morehead/Beaufort, NC",35.07361111,-77.0425
EWR,Newark Liberty International,"Newark, NJ",40.69583333,-74.17166667
EYW,Key West International,"Key West, FL",24.55555556,-81.75972222
FAI,Fairbanks International,"Fairbanks, AK",64.81444444,-147.86277778
FAR,Hector Field,"Fargo, ND",46.91555556,-96.81472222
FAT,Fresno Air Terminal,"Fresno, CA",36.77666667,-119.71722222
FAY,Fayetteville Regional/Grannis Field,"Fayetteville, NC",34.99138889,-78.88027778
FCA,Glacier Park International,"Kalispell, MT",48.31277778,-114.25111111
FLG,Flagstaff Pulliam,"Flagstaff, AZ",35.13777778,-111.67166667
FLL,Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL",26.07416667,-80.15166667
FNT,Bishop International,"Flint, MI",42.96666667,-83.74166667
FSD,Joe Foss Field,"Sioux Falls, SD",43.57888889,-96.74083333
FSM,Fort Smith Regional,"Fort Smith, AR",35.33666667,-94.3675
FWA,Fort Wayne Municipal,"Fort Wayne, IN",40.97833333,-85.18805556
GCC,Gillette Campbell County,"Gillette, WY",44.35138889,-105.525
GCK,Garden City Municipal,"Garden City, KS",37.92861111,-100.72972222
GEG,Spokane International,"Spokane, WA",47.62,-117.53277778
GFK,Grand Forks International,"Grand Forks, ND",47.95194444,-97.17861111
GGG,East Texas Regional,"Longview, TX",32.38666667,-94.71527778
GJT,Walker Field,"Grand Junction, CO",39.11861111,-108.51388889
GNV,Gainesville Regional,"Gainesville, FL",29.68972222,-82.27583333
GPT,Gulfport-Biloxi International,"Gulfport/Biloxi, MS",30.40611111,-89.07027778
GRB,Austin Straubel International,"Green Bay, WI",44.48805556,-88.13055556
GRI,Grand Island Air Park,"Grand Island, NE",40.96722222,-98.30666667
GRK,Robert Gray AAF,"Killeen, TX",31.06472222,-97.8275
GRR,Kent County,"Grand Rapids, MI",42.88111111,-85.52416667
GSO,Piedmont Triad International,"Greensboro/High Point, NC",36.09194444,-79.94277778
GSP,Greenville-Spartanburg,"Greer, SC",34.89888889,-82.21388889
GTF,Great Falls International,"Great Falls, MT",47.48555556,-111.36694444
GTR,Golden Triangle Regional,"Columbus, MS",33.45027778,-88.59138889
GUC,Gunnison-Crested Butte Regional,"Gunnison, CO",38.53388889,-106.93888889
GUM,Agana Field,"Guam, Guam",13.48388889,144.79722222
HDN,Yampa Valley,"Hayden, CO",40.48166667,-107.22
HIB,Chisholm/Hibbing,"Hibbing, MN",47.38861111,-92.83861111
HLN,Helena Regional,"Helena, MT",46.60666667,-111.98194444
HNL,Honolulu International,"Honolulu, HI",21.31861111,-157.9225
HOB,Lea County Hobbs,"Hobbs, NM",32.68861111,-103.21694444
HOU,William P Hobby,"Houston, TX",29.645,-95.27861111
HPN,Westchester County,"White Plains, NY",41.06888889,-73.70777778
HRL,Valley International,"Harlingen/San Benito, TX",26.22805556,-97.65222222
HSV,Huntsville International-Carl T Jones Field,"Huntsville, AL",34.64277778,-86.77555556
HYS,Hays Municipal,"Hays, KS",38.84611111,-99.27416667
IAD,Washington Dulles International,"Washington, DC",38.94166667,-77.4575
IAG,Niagara Falls International,"Niagara Falls, NY",43.10722222,-78.94555556
IAH,Houston Intercontinental,"Houston, TX",29.98333333,-95.34
ICT,Wichita Mid-Continent,"Wichita, KS",37.65,-97.43277778
IDA,Fanning Field,"Idaho Falls, ID",43.51611111,-112.06472222
ILG,Greater Wilmington,"Wilmington, DE",39.67833333,-75.6075
ILM,Wilmington International,"Wilmington, NC",34.26694444,-77.90388889
IMT,Ford,"Iron Mountain/Kingsfd, MI",45.81555556,-88.11416667
IND,Indianapolis Muni/Weir Cook,"Indianapolis, IN",39.72888889,-86.28166667
INL,Falls International,"International Falls, MN",48.56305556,-93.40416667
ISN,Sloulin Field International,"Williston, ND",48.17611111,-103.63611111
ISP,Long Island MacArthur,"Islip, NY",40.79666667,-73.10083333
ITO,General Lyman Field,"Hilo, HI",19.72361111,-155.05805556
JAC,Jackson Hole,"Jackson, WY",43.60666667,-110.73694444
JAN,Allen C Thompson Field,"Jackson/Vicksburg, MS",32.30972222,-90.07583333
JAX,Jacksonville International,"Jacksonville, FL",30.48472222,-81.68777778
JFK,John F. Kennedy International,"New York, NY",40.63861111,-73.77694444
JLN,Joplin Municipal,"Joplin, MO",37.14972222,-94.49777778
JMS,Jamestown Regional,"Jamestown, ND",46.93,-98.67833333
JNU,Juneau International,"Juneau, AK",58.35555556,-134.57472222
KOA,Keahole,"Kona, HI",19.73888889,-156.04555556
KTN,Ketchikan International,"Ketchikan, AK",55.35833333,-131.71666667
LAN,Capital City,"Lansing, MI",42.77916667,-84.58833333
LAR,General Brees Field,"Laramie, WY",41.31361111,-105.67305556
LAS,McCarran International,"Las Vegas, NV",36.08,-115.15222222
LAW,Lawton-Fort Sill Regional,"Lawton/Fort Sill, OK",34.56972222,-98.41611111
LAX,Los Angeles International,"Los Angeles, CA",33.9425,-118.40805556
LBB,Lubbock Regional,"Lubbock, TX",33.66222222,-101.82277778
LBE,Latrobe Airport,"Latrobe, PA",40.27638889,-79.40277778
LCH,Lake Charles Regional,"Lake Charles, LA",30.13111111,-93.22555556
LEX,Blue Grass,"Lexington, KY",38.03972222,-84.60222222
LFT,Lafayette Regional,"Lafayette, LA",30.20472222,-91.9875
LGA,LaGuardia,"New York, NY",40.77944444,-73.87583333
LGB,Long Beach Daugherty Field,"Long Beach, CA",33.8175,-118.15111111
LIH,Lihue Airport,"Lihue, HI",21.97916667,-159.34583333
LIT,Adams Field,"Little Rock, AR",34.72916667,-92.23444444
LNK,Lincoln Airport,"Lincoln, NE",40.85083333,-96.75888889
LRD,Laredo AFB,"Laredo, TX",27.54472222,-99.46111111
LSE,La Crosse Municipal,"La Crosse, WI",43.87722222,-91.25638889
LWS,Lewiston Nez Perce County,"Lewiston, ID",46.37472222,-117.01444444
MAF,Midland Regional Air Trml,"Midland/Odessa, TX",31.94083333,-102.20138889
MBS,Tri City,"Saginaw/Bay City/Midland, MI",43.53166667,-84.08166667
MCI,Kansas City International,"Kansas City, MO",39.2975,-94.71388889
MCO,Orlando International,"Orlando, FL",28.43166667,-81.32472222
MDT,Harrisburg International,"Harrisburg, PA",40.19305556,-76.76222222
MDW,Chicago Midway International,"Chicago, IL",41.785,-87.75194444
MEI,Key Field,"Meridian, MS",32.33722222,-88.74916667
MEM,Memphis International,"Memphis, TN",35.04972222,-89.97861111
MFE,McAllen Miller International,"Mission/McAllen/Edinburg, TX",26.17694444,-98.23972222
MFR,Medford Jackson County,"Medford, OR",42.37361111,-122.87222222
MGM,Dannelly Field,"Montgomery, AL",32.3,-86.39111111
MHK,Manhattan Regional,"Manhattan/Ft. Riley, KS",39.14222222,-96.66888889
MHT,Grenier Field/Manchester Municipal,"Manchester, NH",42.93833333,-71.43888889
MIA,Miami International,"Miami, FL",25.7925,-80.28611111
MKE,General Mitchell Field,"Milwaukee, WI",42.95027778,-87.89722222
MKG,Muskegon County,"Muskegon, MI",43.17055556,-86.2375
MLB,Melbourne Regional,"Melbourne, FL",28.1025,-80.64305556
MLI,Quad City International,"Moline, IL",41.44888889,-90.505
MLU,Monroe Regional,"Monroe, LA",32.51111111,-92.03888889
MMH,Mammoth Lakes Airport,"Mammoth Lakes, CA",37.63111111,-118.85138889
MOB,Mobile Regional,"Mobile, AL",30.68833333,-88.24083333
MOT,Minot International,"Minot, ND",48.25944444,-101.28083333
MQT,Marquette County,"Marquette, MI",46.35361111,-87.39527778
MRY,Monterey Peninsula,"Monterey, CA",36.58805556,-121.84805556
MSN,Truax Field,"Madison, WI",43.14194444,-89.33694444
MSO,Missoula International,"Missoula, MT",46.91555556,-114.0875
MSP,Minneapolis-St Paul International,"Minneapolis, MN",44.88611111,-93.21777778
MSY,Louis Armstrong New Orleans International,"New Orleans, LA",29.99111111,-90.25138889
MTJ,Montrose Regional,"Montrose/Delta, CO",38.50055556,-107.89472222
MYR,Myrtle Beach International,"Myrtle Beach, SC",33.67916667,-78.92972222
OAJ,Albert J Ellis,"Jacksonville/Camp Lejeune, NC",34.83027778,-77.61166667
OAK,Metropolitan Oakland International,"Oakland, CA",37.72138889,-122.22083333
OGG,Kahului Airport,"Kahului, HI",20.90055556,-156.43361111
OKC,Will Rogers World,"Oklahoma City, OK",35.39222222,-97.60166667
OMA,Eppley Airfield,"Omaha, NE",41.30194444,-95.89333333
OME,Nome Airport,"Nome, AK",64.51138889,-165.44166667
ONT,Ontario International,"Ontario, CA",34.05611111,-117.60111111
ORD,Chicago O'Hare International,"Chicago, IL",41.97805556,-87.90611111
ORF,Norfolk International,"Norfolk, VA",36.89583333,-76.20138889
ORH,Worcester Regional,"Worcester, MA",42.26916667,-71.87444444
OTH,North Bend Municipal,"North Bend/Coos Bay, OR",43.41888889,-124.24
OTZ,Ralph Wien Memorial,"Kotzebue, AK",66.88805556,-162.60583333
PAH,Barkley Regional,"Paducah, KY",37.06111111,-88.7725
PBG,Plattsburgh International,"Plattsburgh, NY",44.65083333,-73.46805556
PBI,Palm Beach International,"West Palm Beach/Palm Beach, FL",26.68222222,-80.09416667
PDX,Portland International,"Portland, OR",45.58916667,-122.595
PHF,Patrick Henry International,"Newport News/Williamsburg, VA",37.13166667,-76.49333333
PHL,Philadelphia International,"Philadelphia, PA",39.86805556,-75.24861111
PHX,Phoenix Sky Harbor International,"Phoenix, AZ",33.43611111,-112.00944444
PIA,Greater Peoria,"Peoria, IL",40.66138889,-89.68722222
PIB,Hattiesburg-Laurel Regional,"Hattiesburg/Laurel, MS",31.4675,-89.33666667
PIH,Pocatello Regional,"Pocatello, ID",42.91333333,-112.59444444
PIT,Pittsburgh International,"Pittsburgh, PA",40.49666667,-80.23583333
PLN,Pellston Regional Airport of Emmet County,"Pellston, MI",45.57083333,-84.79277778
PNS,Pensacola Regional,"Pensacola, FL",30.47333333,-87.1875
PPG,Pago Pago International,"Pago Pago, American Samoa",-14.33444444,-170.70972222
PSC,Tri Cities,"Pasco/Kennewick/Richland, WA",46.26388889,-119.11472222
PSE,Ponce Airport,"Ponce, Puerto Rico",18.01083333,-66.56361111
PSG,Petersburg James A Johnson,"Petersburg, AK",56.80416667,-132.9425
PSP,Palm Springs International,"Palm Springs, CA",33.82666667,-116.505
PUB,Pueblo Memorial,"Pueblo, CO",38.29277778,-104.49611111
PVD,Theodore Francis Green State,"Providence, RI",41.72833333,-71.42611111
PWM,Portland International Jetport,"Portland, ME",43.64444444,-70.30361111
RAP,Rapid City Regional,"Rapid City, SD",44.04527778,-103.05694444
RDD,Redding Municipal,"Redding, CA",40.50833333,-122.29222222
RDM,Roberts Field,"Bend/Redmond, OR",44.25444444,-121.15138889
RDU,Raleigh-Durham International,"Raleigh/Durham, NC",35.87527778,-78.78194444
RHI,Rhinelander/Oneida County,"Rhinelander, WI",45.63138889,-89.4575
RIC,Richmond International,"Richmond, VA",37.50527778,-77.31972222
RKS,Rock Springs Sweetwater County,"Rock Springs, WY",41.59638889,-109.06583333
RNO,Reno/Tahoe International,"Reno, NV",39.49777778,-119.7675
ROA,Roanoke Regional/Woodrum Field,"Roanoke, VA",37.32472222,-79.97638889
ROC,Rochester Monroe County,"Rochester, NY",43.12138889,-77.67083333
ROW,Roswell International Air Center,"Roswell, NM",33.30166667,-104.53055556
RST,Rochester Municipal,"Rochester, MN",43.91027778,-92.49638889
RSW,Southwest Florida International,"Fort Myers, FL",26.53611111,-81.755
SAF,Santa Fe Municipal,"Santa Fe, NM",35.6175,-106.08833333
SAN,San Diego International Lindbergh Fl,"San Diego, CA",32.73277778,-117.18722222
SAT,San Antonio International,"San Antonio, TX",29.53333333,-98.46944444
SAV,Savannah/Hilton Head International,"Savannah, GA",32.1275,-81.2025
SBA,Santa Barbara Municipal,"Santa Barbara, CA",34.42777778,-119.83944444
SBN,Michiana Regional,"South Bend, IN",41.70444444,-86.3125
SBP,San Luis Obispo County Regional,"San Luis Obispo, CA",35.23666667,-120.63916667
SCC,Deadhorse Airport,"Deadhorse, AK",70.19444444,-148.46805556
SCE,State College Air Depot,"State College, PA",40.77083333,-77.88138889
SDF,Standiford Field,"Louisville, KY",38.17972222,-85.73861111
SEA,Seattle International,"Seattle, WA",47.44722222,-122.30555556
SFO,San Francisco International,"San Francisco, CA",37.61888889,-122.375
SGF,Springfield-Branson National,"Springfield, MO",37.24,-93.385
SGU,St George Municipal,"St. George, UT",37.09305556,-113.59222222
SHV,Shreveport Regional,"Shreveport, LA",32.44694444,-93.82555556
SIT,Sitka Rocky Gutierrez,"Sitka, AK",57.04861111,-135.36166667
SJC,San Jose International,"San Jose, CA",37.36277778,-121.94055556
SJT,San Angelo Regional/Mathis Field,"San Angelo, TX",31.35972222,-100.49444444
SJU,Puerto Rico International,"San Juan, Puerto Rico",18.44,-66.00222222
SLC,Salt Lake City International,"Salt Lake City, UT",40.78416667,-111.96694444
SMF,Sacramento International,"Sacramento, CA",38.69555556,-121.58972222
SMX,Santa Maria Public/Capt. G. Allan Hancock Field,"Santa Maria, CA",34.905,-120.45777778
SNA,Orange County,"Santa Ana, CA",33.67555556,-117.86694444
SPI,Capital,"Springfield, IL",39.84416667,-89.67888889
SPS,Sheppard AFB/Wichita Falls Municipal,"Wichita Falls, TX",33.98833333,-98.49194444
SRQ,Sarasota/Bradenton Airport,"Sarasota/Bradenton, FL",27.39388889,-82.55416667
STC,St. Cloud Regional,"St. Cloud, MN",45.54527778,-94.05833333
STL,Lambert-St. Louis International,"St. Louis, MO",38.74722222,-90.36444444
STT,Harry S Truman,"Charlotte Amalie, Virgin Islands",18.33722222,-64.97333333
STX,Alexander Hamilton,"Christiansted, Virgin Islands",17.70388889,-64.79888889
SUN,Friedman Memorial,"Sun Valley/Hailey/Ketchum, ID",43.50416667,-114.30833333
SUX,Sioux City Gateway,"Sioux City, IA",42.40194444,-96.38416667
SWF,Stewart International,"Newburgh/Poughkeepsie, NY",41.50583333,-74.09722222
SYR,Syracuse Hancock International,"Syracuse, NY",43.11055556,-76.1025
TLH,Tallahassee Regional,"Tallahassee, FL",30.39972222,-84.35194444
TOL,Toledo Express,"Toledo, OH",41.59083333,-83.80083333
TPA,Tampa International,"Tampa, FL",27.97305556,-82.53527778
TRI,Tri-Cities Regional TN/VA,"Bristol/Johnson City/Kingsport, TN",36.47611111,-82.40638889
TTN,Mercer County,"Trenton, NJ",40.27805556,-74.8125
TUL,Tulsa International,"Tulsa, OK",36.19777778,-95.88972222
TUS,Tucson International,"Tucson, AZ",32.11611111,-110.94055556
TVC,Cherry Capital,"Traverse City, MI",44.74,-85.58583333
TWF,Joslin Field - Magic Valley Regional,"Twin Falls, ID",42.48194444,-114.48666667
TXK,Texarkana Muni/Webb Field,"Texarkana, AR",33.45638889,-93.98916667
TYR,Tyler Pounds Regional,"Tyler, TX",32.35472222,-95.39888889
TYS,McGhee Tyson,"Knoxville, TN",35.81222222,-83.9925
UST,St. Augustine Airport,"St. Augustine, FL",29.95861111,-81.33888889
VEL,Vernal Regional,"Vernal, UT",40.43888889,-109.51027778
VLD,Valdosta Regional,"Valdosta, GA",30.78222222,-83.27694444
VPS,Northwest Florida Regional,"Valparaiso, FL",30.48333333,-86.52527778
WRG,Wrangell Airport,"Wrangell, AK",56.48444444,-132.36666667
XNA,Northwest Arkansas Regional,"Fayetteville, AR",36.28194444,-94.30694444
YAK,Yakutat Airport,"Yakutat, AK",59.50916667,-139.65972222
YUM,Yuma MCAS/Yuma International,"Yuma, AZ",32.65666667,-114.60583333
BGM,Greater Binghamton/Edwin A. Link Field,"Binghamton, NY",42.20138889,-75.96916667
BGR,Bangor International,"Bangor, ME",44.80777778,-68.82777778
ITH,Ithaca Tompkins Regional,"Ithaca/Cortland, NY",42.49027778,-76.45805556
ACK,Nantucket Memorial,"Nantucket, MA",41.25666667,-70.05972222
MVY,Martha's Vineyard Airport,"Martha's Vineyard, MA",41.39277778,-70.61666667
AKN,King Salmon Airport,"King Salmon, AK",58.67777778,-156.65166667
DLG,Dillingham Airport,"Dillingham, AK",59.04166667,-158.50666667
GST,Gustavus Airport,"Gustavus, AK",58.4275,-135.705
HYA,Barnstable Municipal-Boardman/Polando Field,"Hyannis, MA",41.66583333,-70.28055556
WYS,Yellowstone,"West Yellowstone, MT",44.68666667,-111.10472222
